title,speaker,initial speech,initial sentiment,initial POLARITY
The Second Part of Henry the Sixth,BOLINGBROKE,"Master Hume, we are therefore provided: will her ladyship behold and hear our exorcisms?","[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.95366667  0.          0.          0.          0.
  0.          0.          0.          0.         -0.894       0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]",0.42300000000000004
The Second Part of Henry the Sixth,Spirit,Adsum.,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
The Second Part of Henry the Sixth,MARGARET JOURDAIN,"Asmath, By the eternal God, whose name and power Thou tremblest at, answer that I shall ask; For, till thou speak, thou shalt not pass from hence.","[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.659  0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.927  0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.    -0.911  0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.306  0.   ]",0.24699999999999997
The Second Part of Henry the Sixth,Townsman,A miracle! a miracle!,"[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.916 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]",0.863
The Second Part of Henry the Sixth,SIMPCOX,"Born blind, an't please your grace.","[ 0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.659   0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.9235  0.
  0.     -0.87    0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.    ]",0.404
The Second Part of Henry the Sixth,Wife,"Ay, indeed, was he.","[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.    -0.961  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",-0.881
The Second Part of Henry the Sixth,Mayor,"Yes, my lord, if it please your grace.","[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.659
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.907 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]",0.7202500000000001
The Second Part of Henry the Sixth,Beadle,"I will, my lord. Come on, sirrah; off with your doublet quickly.","[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.316  0.     0.
  0.     0.     0.     0.     0.     0.983  0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.548  0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",0.21266666666666667
The Second Part of Henry the Sixth,BOTH,"Long live our sovereign Richard, England's king!","[ 0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.8995  0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.     -0.228   0.      0.871   0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.241   0.    ]",0.503
The Second Part of Henry the Sixth,First Neighbour,"Here, neighbour Horner, I drink to you in a cup of sack: and fear not, neighbour, you shall do well enough.","[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.923  0.     0.     0.     0.
  0.     0.     0.     0.    -0.66   0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",0.5871999999999999
The Second Part of Henry the Sixth,Second Neighbour,"And here, neighbour, here's a cup of charneco.","[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.973 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.659 0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]",0.8160000000000001
The Second Part of Henry the Sixth,Third Neighbour,"And here's a pot of good double beer, neighbour: drink, and fear not your man.","[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.659  0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.973  0.     0.     0.     0.
  0.     0.     0.     0.    -0.66   0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",0.324
The Second Part of Henry the Sixth,First 'Prentice,"Here, Peter, I drink to thee: and be not afraid.","[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.895  0.     0.     0.     0.
  0.     0.     0.     0.    -0.659  0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",0.08149999999999996
The Second Part of Henry the Sixth,Second 'Prentice,"Be merry, Peter, and fear not thy master: fight for credit of the 'prentices.","[-0.206       0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.91466667 -0.273       0.659       0.          0.
  0.          0.          0.          0.         -0.66        0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]",0.25657142857142856
The Second Part of Henry the Sixth,Servants,"Ten, my lord.","[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.983 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]",0.722
The Second Part of Henry the Sixth,Servant,"So please your grace, we'll take her from the sheriff.","[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.659  0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.882  0.     0.    -0.846  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",0.21866666666666665
The Second Part of Henry the Sixth,Herald,"I summon your grace to his majesty's parliament, Holden at Bury the first of this next month.","[ 0.     0.     0.     0.     0.     0.888  0.     0.     0.     0.
  0.     0.659  0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.    -0.268  0.834  0.     0.    -0.894  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",0.08266666666666667
The Second Part of Henry the Sixth,Sheriff,"An't please your grace, here my commission stays, And Sir John Stanley is appointed now To take her with him to the Isle of Man.","[ 0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.659    0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.86575  0.       0.      -0.839    0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.     ]",0.5235
The Second Part of Henry the Sixth,STANLEY,"So am I given in charge, may't please your grace.","[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.659  0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.8785 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.    ]",0.7726666666666665
The Second Part of Henry the Sixth,Post,"Great lords, from Ireland am I come amain, To signify that rebels there are up And put the Englishmen unto the sword: Send succors, lords, and stop the rage betime, Before the wound do grow uncurable; For, being green, there is great hope of help.","[-0.329       0.          0.          0.          0.          0.999
  0.          0.          0.          0.          0.          0.659
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.9625     -0.538       0.          0.         -0.31666667
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.81166667  0.          0.          0.          0.915       0.542
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.309       0.        ]",0.20287500000000003
The Second Part of Henry the Sixth,First Murderer,"Run to my Lord of Suffolk; let him know We have dispatch'd the duke, as he commanded.","[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.983 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.986 0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]",0.812
The Second Part of Henry the Sixth,Second Murderer,O that it were to do! What have we done? Didst ever hear a man so penitent?,"[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.    -0.969  0.     0.
  0.     0.     0.     0.     0.     0.    -0.98   0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",-0.837
The Second Part of Henry the Sixth,First Murder,Here comes my lord.,"[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.983 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]",0.722
The Second Part of Henry the Sixth,Commons,Lord of Salisbury!,"[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.904 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]",0.7655000000000001
The Second Part of Henry the Sixth,VAUX,"To signify unto his majesty That Cardinal Beaufort is at point of death; For suddenly a grievous sickness took him, That makes him gasp and stare and catch the air, Blaspheming God and cursing men on earth. Sometimes he talks as if Duke Humphrey's ghost Were by his side; sometime he calls the king, And whispers to his pillow, as to him, The secrets of his overcharged soul; And I am sent to tell his majesty That even now he cries aloud for him.","[ 0.          0.          0.         -0.207       0.          0.888
  0.          0.          0.          0.          0.          0.659
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.93133333 -0.614       0.         -0.93116667  0.
  0.          0.          0.          0.         -0.93166667  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.927       0.542
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.216       0.        ]",0.050708333333333334
The Second Part of Henry the Sixth,Captain,"The gaudy, blabbing and remorseful day Is crept into the bosom of the sea; And now loud-howling wolves arouse the jades That drag the tragic melancholy night; Who, with their drowsy, slow and flagging wings, Clip dead men's graves and from their misty jaws Breathe foul contagious darkness in the air. Therefore bring forth the soldiers of our prize; For, whilst our pinnace anchors in the Downs, Here shall they make their ransom on the sand, Or with their blood stain this discolour'd shore. Master, this prisoner freely give I thee; And thou that art his mate, make boot of this; The other, Walter Whitmore, is thy share.","[-0.536       0.          0.          0.          0.          0.983
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         -0.39385714
  0.          0.          0.          0.          0.         -0.21966667
  0.          0.91183333 -0.5355      0.566      -0.8875      0.
  0.          0.          0.          0.         -0.853       0.
  0.          0.          0.          0.          0.          0.
  0.87933333  0.         -0.89133333  0.305       0.          0.
 -0.12425     0.          0.         -0.232       0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.23575     0.        ]",-0.0557777777777778
The Second Part of Henry the Sixth,First Gentleman,"What is my ransom, master? let me know.","[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.906  0.     0.    -0.833  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",0.01050000000000001
The Second Part of Henry the Sixth,Master,"A thousand crowns, or else lay down your head.","[-0.23   0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.858  0.    -0.838  0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.   ]",-0.05400000000000002
